date,value
7/1/21,1686573
7/2/21,1789985
7/3/21,1716158
7/4/21,1678001
7/5/21,1627131
7/6/21,1514632
7/7/21,1507659
7/8/21,1578078
7/9/21,1670642
7/10/21,1623526
7/11/21,1450398
7/12/21,1433626
7/13/21,1551418
7/14/21,1541555
7/15/21,1520902
7/16/21,1647821
7/17/21,1671762
7/18/21,1628368
7/19/21,1740529
7/20/21,1654438
7/21/21,1565163
7/22/21,1503990
7/23/21,1644012
7/24/21,1620951
7/25/21,1459140
7/26/21,1528878
7/27/21,1486168
7/28/21,1468918
7/29/21,1470892
7/30/21,1526896
7/31/21,1558485
8/1/21,1387397
8/2/21,1437427
8/3/21,1420532
8/4/21,1425919
8/5/21,1404042
8/6/21,1477284
8/7/21,1421319
8/8/21,1284644
8/9/21,1356008
8/10/21,1389056
8/11/21,1373345
8/12/21,1380691
8/13/21,1527316
8/14/21,1495763
8/15/21,1366157
8/16/21,1377532
8/17/21,1400626
8/18/21,1478065
8/19/21,1398144
8/20/21,1508095
8/21/21,1555048
8/22/21,1388554
8/23/21,1438054
8/24/21,1568738
8/25/21,1521808
8/26/21,1487816
8/27/21,1671747
8/28/21,1766027
8/29/21,1552388
8/30/21,1510764
8/31/21,1515999
9/1/21,1381109
9/2/21,1344791
9/3/21,1508666
9/4/21,1523155
9/5/21,1409303
9/6/21,1406764
9/7/21,1362531
9/8/21,1435370
9/9/21,1434496
9/10/21,1498330
9/11/21,1637064
9/12/21,1424296
9/13/21,1333984
9/14/21,1396991
9/15/21,1388999
9/16/21,1401593
9/17/21,1516966
9/18/21,1588175
9/19/21,1413306
9/20/21,1364741
9/21/21,1387086
9/22/21,1399507
9/23/21,1392596
9/24/21,1485905
9/25/21,1528823
9/26/21,1375788
9/27/21,1299566
9/28/21,1312526
9/29/21,1308057
9/30/21,1317763
10/1/21,1396372
10/2/21,1458234
10/3/21,1290118
10/4/21,1236916
10/5/21,1262350
10/6/21,1273185
10/7/21,1298522
10/8/21,1434089
10/9/21,1455320
10/10/21,1370248
10/11/21,1360425
10/12/21,1253432
10/13/21,1350427
10/14/21,1339725
10/15/21,1440460
10/16/21,1506001
10/17/21,1362350
10/18/21,1326857
10/19/21,1365205
10/20/21,1368929
10/21/21,1410949
10/22/21,1512978
10/23/21,1561871
10/24/21,1303361
10/25/21,1215831
10/26/21,1166815
10/27/21,1188193
10/28/21,1227004
10/29/21,1331971
10/30/21,1406408
10/31/21,1161825
11/1/21,1140211
11/2/21,1177119
11/3/21,1198576
11/4/21,1261925
11/5/21,1360411
11/6/21,1425077
